id,name,expected,actual,status,notes
Sc1,valid prescription issued,201 outcome=true,201 outcome=true,PASS,
Sc2,ZKP-rejected not issued,422 issued=false,422 issued=false,PASS,
Sc3,access gate blocks unregistered doctor,403,403,PASS,
Sc4,numeric bridge needs DAO consensus,gate 403 then approved,proposal=0 gate403=true approved=true,PASS,
Sc5,terminology alignment needs DAO consensus,"conflict, gate 403, approved",conflict=true gate403=true approved=true,PASS,
Sc6,proof freshness / validity window,expired after window,SKIPPED,SKIP,timed setup — validated manually per README Scenario 6
Sc7,replay single-use,"first verified, second replay-rejected",v1=true v2=false,PASS,
